,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1,1,1,1,1,2015.0,7.0,1,1,4.15,15.37,1196.0,1,9.93726076264305
2,1,2,1,1,2021.0,5.0,1,2,7.5,20.0,999.0,1,10.308952660644293
3,1,3,1,1,2015.0,5.0,1,3,3.98,19.81,1086.0,1,10.989470424804097
4,1,3,1,1,2015.0,5.0,1,4,5.5,18.7,1199.0,1,10.819778284410283
5,2,4,1,2,2016.0,5.0,1,5,33.0,13.0,2143.0,1,9.903487552536127
6,1,3,1,2,2016.0,5.0,1,1,4.53,23.1,998.0,1,10.288851988937289
7,1,3,1,1,2010.0,5.0,1,1,2.85,19.0,998.0,1,10.661954199216716
8,2,2,1,2,2018.0,5.0,1,6,50.0,16.55,1995.0,1,10.043292972227004
9,1,2,2,2,2018.0,5.0,2,7,8.21,14.8,1497.0,1,10.162963033097729
10,1,3,1,1,2021.0,5.0,1,3,8.65,21.0,1197.0,1,9.903487552536127
11,1,3,1,2,2019.0,5.0,1,4,7.92,18.2,1199.0,1,9.781941194456632
12,2,4,1,2,2020.0,5.0,1,6,40.5,20.37,1995.0,1,10.819778284410283
13,1,3,1,1,2018.0,5.0,1,1,6.1,22.0,1197.0,1,10.819778284410283
14,1,3,2,1,2018.0,5.0,2,3,5.11,18.9,1197.0,1,10.842028893345104
15,2,2,1,1,2019.0,5.0,1,8,7.1,21.5,1497.0,1,11.145232906548008
16,2,2,1,1,2017.0,5.0,1,9,12.25,17.1,1956.0,1,11.082142548877775
17,1,4,1,1,2014.0,5.0,1,4,5.7,17.4,1497.0,1,11.44337172193852
18,2,2,1,1,2022.0,7.0,1,10,39.0,17.4,2755.0,1,9.798127036878302
19,1,4,2,1,2014.0,5.0,2,4,3.75,18.0,1198.0,1,11.505145277651266
20,1,3,1,1,2016.0,5.0,1,3,2.75,20.3,998.0,1,10.308952660644293
21,1,4,1,1,2014.0,5.0,1,4,4.29,18.0,1198.0,1,10.328820645281759
22,2,3,1,1,2018.0,5.0,1,1,6.75,25.2,1248.0,1,11.074420502783864
23,1,4,2,1,2017.0,5.0,2,4,7.93,17.8,1497.0,1,10.753830771109293
24,3,2,1,2,2020.0,5.0,1,8,11.0,17.8,0.0,1,9.903487552536127
25,2,2,1,2,2019.0,5.0,1,3,14.25,17.01,1582.0,1,9.903487552536127
26,1,2,1,2,2020.0,5.0,1,3,10.36,18.15,998.0,1,9.986218950133592
27,1,4,1,1,2016.0,5.0,1,4,8.0,17.8,1497.0,1,11.289781913656018
28,1,4,2,2,2013.0,5.0,2,11,14.0,13.53,1984.0,1,11.385092093460344
29,1,4,2,2,2019.0,5.0,2,4,10.88,17.4,1497.0,1,10.320881231509567
30,1,3,2,2,2017.0,5.0,2,1,5.9,21.4,1197.0,1,11.156250521031495
31,1,3,1,1,2016.0,5.0,1,3,5.68,18.9,1197.0,1,9.6956020036109
32,1,3,2,2,2017.0,5.0,2,1,4.0,23.1,998.0,1,10.915088464214607
33,1,5,1,2,2022.0,7.0,1,10,27.9,8.0,2694.0,1,9.472704636443673
34,1,3,2,2,2016.0,5.0,2,1,4.22,23.1,998.0,1,11.179380938420351
35,1,4,1,1,2015.0,5.0,1,4,4.5,18.0,1198.0,1,10.738676682973242
36,1,2,1,1,2017.0,5.0,1,4,6.5,17.5,1199.0,1,11.002099841204238
37,2,3,1,1,2017.0,5.0,1,4,5.75,27.3,1498.0,1,11.289781913656018
38,2,3,1,2,2015.0,5.0,1,5,19.5,15.0,2143.0,1,10.968198289528557
39,1,4,2,1,2008.0,5.0,2,1,1.5,15.9,1298.0,1,11.156250521031495
40,1,3,1,2,2017.0,5.0,1,1,7.02,21.4,1197.0,1,11.031075949440755
41,1,2,2,1,2016.0,6.0,2,12,4.48,18.15,1198.0,1,10.491774092479899
42,2,2,1,2,2016.0,5.0,1,13,6.5,19.6,1461.0,1,11.918390573078392
43,1,3,1,1,2022.0,5.0,1,3,8.01,20.7,998.0,1,9.752490228984199
44,1,4,2,2,2016.0,5.0,2,4,7.72,18.0,1497.0,1,11.0497941670669
45,1,4,2,1,2013.0,5.0,2,10,5.0,14.53,1798.0,1,11.407564949312402
46,1,2,1,1,2021.0,5.0,1,12,11.03,16.82,1197.0,1,9.953372355465126
47,2,4,1,1,2018.0,5.0,1,10,14.9,21.43,1364.0,1,10.668955394675699
48,2,4,1,2,2017.0,5.0,1,1,6.27,28.4,1248.0,1,11.612816047785024
49,1,4,1,1,2018.0,5.0,1,3,8.35,17.0,1591.0,1,11.275835107523394
50,2,4,1,2,2015.0,5.0,1,11,20.9,18.53,1968.0,1,10.985292722887856
51,1,4,1,1,2014.0,5.0,1,14,3.5,18.2,1199.0,1,11.408209186191696
52,2,2,1,2,2015.0,5.0,1,11,21.0,13.22,2967.0,1,11.141861783579396
53,2,2,1,1,2019.0,5.0,1,4,9.25,25.5,1498.0,1,11.112447898373103
54,2,4,1,1,2017.0,5.0,1,1,8.5,28.09,1248.0,1,11.289781913656018
55,2,4,1,1,2017.0,5.0,1,1,8.5,28.09,1248.0,1,11.289781913656018
56,2,2,1,2,2020.0,7.0,1,11,66.0,14.75,2967.0,1,10.950806546816688
57,2,5,1,1,2018.0,8.0,1,10,21.5,13.68,2393.0,1,12.761025793173605
58,2,4,1,2,2018.0,5.0,1,5,36.0,19.27,2143.0,1,12.761025793173605
59,2,4,1,2,2017.0,5.0,1,6,68.0,16.46,2993.0,1,10.203592144986466
60,1,2,1,1,2018.0,5.0,1,8,7.07,17.0,1198.0,1,10.554092509830399
61,1,3,1,1,2019.0,5.0,1,15,6.8,17.74,999.0,1,10.51845695203205
62,2,2,2,2,2016.0,5.0,2,6,37.5,16.55,2993.0,1,10.819778284410283
63,2,2,1,2,2021.0,6.0,1,8,20.39,14.08,1956.0,1,10.451493347426403
64,1,3,1,1,2019.0,5.0,1,16,4.01,19.02,1198.0,1,11.345263923115024
65,2,4,2,2,2013.0,5.0,2,5,21.5,13.0,2143.0,1,11.002116507732017
66,1,3,1,1,2018.0,5.0,1,3,5.05,20.3,1086.0,1,10.063137370065666
67,1,2,1,2,2022.0,5.0,1,15,15.99,18.41,999.0,1,9.472704636443673
68,2,4,1,2,2019.0,5.0,1,4,8.3,23.8,1498.0,1,10.908850868984608
69,1,2,1,1,2020.0,5.0,1,12,10.36,16.82,1197.0,1,10.438927737066038
70,1,2,1,1,2022.0,5.0,1,17,15.95,16.8,1497.0,1,9.210340371976184
71,1,3,3,1,2010.0,5.0,3,18,1.0,14.6,1368.0,1,11.156250521031495
72,1,2,1,1,2020.0,5.0,1,3,8.25,17.52,1197.0,1,10.51867319162636
73,2,2,1,2,2022.0,7.0,1,12,29.0,17.52,2198.0,1,9.903487552536127
74,1,3,1,1,2016.0,5.0,1,1,5.5,21.4,1197.0,1,10.896128027630796
75,1,3,1,1,2011.0,5.0,1,3,2.99,20.36,1197.0,1,10.872370734529454
76,1,2,1,2,2018.0,5.0,1,8,7.5,17.0,1198.0,1,11.002099841204238
77,1,3,1,1,2016.0,5.0,1,1,5.5,21.4,1197.0,1,10.896128027630796
78,1,4,2,1,2014.0,5.0,2,4,3.75,18.6,1199.0,1,11.505145277651266
79,1,4,2,1,2011.0,5.0,2,18,2.65,16.0,1368.0,1,11.002099841204238
80,1,3,1,2,2020.0,5.0,1,4,8.08,17.1,1199.0,1,10.783529151735163
81,1,3,1,1,2016.0,5.0,1,4,5.42,18.7,1199.0,1,11.184754675788312
82,1,4,1,2,2016.0,5.0,1,4,5.29,15.5,1198.0,1,11.289781913656018
83,1,3,1,1,2017.0,5.0,1,15,6.84,16.2,1199.0,1,11.27384306235451
84,2,2,2,1,2018.0,5.0,2,7,8.13,23.0,1498.0,1,11.197598091698122
85,1,4,1,2,2015.0,5.0,1,1,6.5,19.12,1373.0,1,10.596634733096073
