name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
1307,2014.0,450000.0,145500.0,1,1,1,0,335,13,244,178,5.0
1607,2014.0,370000.0,120000.0,1,1,1,2,284,36,15,260,5.0
385,2006.0,158000.0,140000.0,3,1,1,4,180,35,253,66,5.0
781,2010.0,225000.0,127000.0,1,1,1,0,327,24,297,224,5.0
1349,2007.0,130000.0,120000.0,3,1,1,0,136,14,288,21,5.0
693,2017.0,440000.0,45000.0,3,1,1,0,246,10,263,36,5.0
1397,2007.0,96000.0,175000.0,2,1,1,0,168,1,195,402,5.0
1064,2001.0,45000.0,5000.0,3,1,1,2,136,112,172,388,4.0
1908,2011.0,350000.0,90000.0,1,1,1,0,338,19,224,144,5.0
286,2013.0,200000.0,169000.0,1,1,1,0,244,25,228,139,5.0
1521,2014.0,500000.0,68000.0,1,1,1,2,213,29,25,249,5.0
1432,2005.0,92000.0,100000.0,3,1,1,2,169,117,202,411,5.0
1309,2009.0,280000.0,140000.0,1,1,1,2,222,13,241,178,5.0
1277,2007.0,200000.0,80000.0,3,1,1,2,393,121,322,441,5.41671936259011
1399,2009.0,180000.0,90000.0,3,1,1,2,210,1,220,415,5.0
891,2016.0,400000.0,40000.0,3,1,1,0,192,11,264,54,5.0
1195,2016.0,778000.0,70000.0,1,1,1,2,353,13,289,193,7.0
726,2012.0,500000.0,53000.0,1,1,1,2,327,24,297,224,5.0
1103,2002.0,150000.0,80000.0,3,1,1,2,238,112,180,398,5.0
733,2016.0,680000.0,100000.0,1,1,1,0,318,24,292,221,5.0
1000,2011.0,174000.0,100000.0,1,1,1,2,275,29,212,139,5.0
459,2017.0,950000.0,50000.0,1,1,1,0,365,36,313,193,5.0
1317,2015.0,525000.0,40000.0,1,1,1,0,374,13,244,178,5.0
1267,2012.0,600000.0,72000.0,1,1,1,0,294,13,294,193,5.0
1848,2018.0,500000.0,35000.0,3,1,1,0,249,12,274,49,5.0
1117,2016.0,575000.0,45000.0,3,1,1,0,291,10,270,55,5.0
1081,2017.0,275000.0,28000.0,3,1,1,0,354,112,182,400,5.0
80,2013.0,300000.0,70000.0,1,1,1,0,194,13,240,148,7.0
1399,2009.0,220000.0,120000.0,3,1,1,0,210,1,220,415,5.0
1236,2018.0,254999.0,25000.0,3,1,1,0,154,112,169,388,8.0
1368,2017.0,670000.0,70000.0,1,1,1,0,350,13,289,193,5.0
174,2003.0,70000.0,50000.0,3,1,1,2,393,121,322,441,5.41671936259011
1232,2012.0,150000.0,35000.0,3,1,1,2,74,112,170,390,5.0
716,2018.0,730000.0,2388.0,3,1,1,0,204,10,262,48,5.0
1367,2017.0,650000.0,16200.0,1,1,1,0,350,13,289,193,5.0
1078,2019.0,330000.0,10000.0,0,1,1,2,389,112,177,392,4.0
1101,2019.0,366000.0,15000.0,3,1,1,0,345,119,224,424,5.0
671,2019.0,1149000.0,5000.0,3,1,1,0,159,42,51,127,5.0
130,2016.0,150000.0,42000.0,3,1,1,0,263,11,220,10,5.0
1793,2011.0,425000.0,60000.0,1,1,1,2,72,71,71,302,7.0
1068,2012.0,150000.0,76000.0,3,1,1,0,136,112,172,388,4.0
794,2019.0,2100000.0,5000.0,3,1,0,0,131,20,101,266,5.0
412,2018.0,925000.0,28900.0,3,0,1,0,183,35,42,115,5.0
392,2013.0,425000.0,86300.0,3,0,1,0,154,35,38,118,5.0
1315,2018.0,675000.0,23300.0,3,0,0,0,202,10,272,55,5.0
1369,2018.0,819999.0,32600.0,1,0,1,0,350,13,289,193,5.0
1098,2018.0,390000.0,10300.0,3,0,1,0,345,119,222,424,5.0
1921,2014.0,1500000.0,77000.0,1,0,1,0,41,102,111,318,7.0
1935,2013.0,700000.0,99000.0,1,0,1,0,49,85,2,191,7.0
1440,2014.0,1450000.0,27800.0,1,0,0,2,96,69,49,189,5.0
334,2015.0,425000.0,49800.0,1,0,1,0,354,36,314,193,5.0
1479,2013.0,1090000.0,151000.0,1,0,1,0,62,82,123,351,7.0
396,2015.0,600000.0,54700.0,1,0,1,0,369,36,313,193,5.0
1173,2018.0,850000.0,64000.0,3,0,1,0,264,30,11,98,5.0
451,2015.0,525000.0,63000.0,1,0,1,0,379,36,313,193,5.0
1974,2016.0,1650000.0,127700.0,1,0,0,2,17,96,118,328,7.0
1934,2016.0,950000.0,99000.0,1,0,1,0,49,85,5,188,7.0
14,2013.0,1750000.0,33900.0,1,0,0,2,179,59,119,335,5.0
1877,2018.0,1590000.0,25000.0,3,0,0,0,83,53,71,150,5.0
12,2013.0,1689999.0,50000.0,1,0,0,0,203,59,137,350,5.0
1465,2013.0,1425000.0,59000.0,1,0,0,0,98,69,114,346,5.0
1749,2011.0,265000.0,120000.0,1,1,1,0,282,13,294,192,5.0
704,2011.0,190000.0,110000.0,3,1,1,4,251,10,255,32,5.0
761,2013.0,425000.0,60000.0,1,1,1,0,288,24,293,219,5.0
1317,2015.0,630000.0,147000.0,1,1,1,2,374,13,244,178,5.0
262,2017.0,600000.0,25000.0,3,1,1,4,193,9,285,34,5.0
1117,2019.0,650000.0,30000.0,3,1,1,0,291,10,270,55,5.0
1994,2016.0,540000.0,40000.0,1,1,1,0,307,36,26,261,5.0
399,2015.0,630000.0,135000.0,1,1,1,0,358,36,313,193,5.0
1379,2018.0,448000.0,30000.0,3,1,0,0,258,119,220,424,5.0
1992,2017.0,500000.0,80000.0,1,1,1,0,298,36,29,261,5.0
1369,2016.0,745000.0,70000.0,1,1,1,0,350,13,289,193,5.0
1375,2019.0,1025000.0,9850.0,1,1,0,0,350,13,289,193,5.0
704,2011.0,235000.0,60000.0,3,1,1,2,251,10,255,32,5.0
1341,2016.0,630000.0,70000.0,1,1,1,0,360,13,244,178,5.0
1921,2015.0,1700000.0,78000.0,1,1,1,2,41,102,111,318,7.0
1337,2013.0,450000.0,120000.0,1,1,1,2,325,13,244,178,5.0
1205,2012.0,450000.0,120000.0,3,1,1,2,132,21,304,85,7.0
1649,2003.0,50000.0,70000.0,1,1,1,0,393,121,322,441,5.41671936259011
2043,2013.0,450000.0,170000.0,1,1,1,0,260,46,16,260,5.0
1952,2016.0,1200000.0,140000.0,1,1,1,0,49,85,5,188,8.0
206,2015.0,610000.0,90000.0,1,1,1,0,323,36,312,199,5.0
49,2016.0,2500000.0,30000.0,3,1,0,2,123,66,139,283,5.0
1147,2017.0,484999.0,10000.0,3,0,1,0,331,119,221,424,5.0
128,2016.0,275000.0,49000.0,3,0,1,0,214,11,222,10,5.0
1088,2016.0,315000.0,32000.0,3,0,1,0,354,112,182,400,5.0
1084,2016.0,275000.0,38000.0,3,0,1,0,354,112,182,400,5.0
1340,2015.0,475000.0,78000.0,1,0,1,0,393,121,322,441,5.41671936259011
701,2012.0,290000.0,28000.0,3,0,1,0,240,2,226,436,5.0
1232,2017.0,280000.0,32000.0,3,0,1,0,74,112,170,390,5.0
1398,2010.0,225000.0,44000.0,2,0,1,0,371,119,199,408,5.0
2012,2015.0,455000.0,42000.0,3,0,1,0,144,11,244,27,5.0
705,2015.0,351000.0,45000.0,3,0,1,2,240,2,226,436,5.0
2047,2012.0,535000.0,12000.0,3,0,1,2,104,46,16,129,5.0
1426,2009.0,175000.0,55500.0,3,0,1,0,194,119,224,424,5.0
766,2013.0,525000.0,61500.0,3,0,1,0,202,10,267,37,5.0
1297,2016.0,600000.0,150000.0,1,1,1,0,374,13,244,178,5.0
691,2016.0,565000.0,72000.0,3,0,0,0,217,10,264,50,5.0
1104,2008.0,120000.0,68000.0,3,0,1,4,238,112,180,398,5.0
725,2017.0,725000.0,110000.0,1,1,1,0,318,24,292,221,5.0
1404,2009.0,185000.0,77000.0,3,0,1,2,303,119,222,424,5.0
1734,2010.0,200000.0,100000.0,1,1,1,2,208,13,297,192,5.0
1347,2019.0,615000.0,10000.0,3,1,1,0,287,10,261,41,5.0
1180,2016.0,270000.0,100000.0,3,1,1,4,114,9,237,5,7.0
1127,2018.0,610000.0,35000.0,3,1,1,0,291,10,270,55,5.0
975,2014.0,625000.0,70000.0,1,1,0,2,26,71,47,287,8.0
301,2020.0,400000.0,5000.0,3,1,1,2,212,8,307,67,5.0
670,2017.0,866000.0,37800.0,3,1,1,0,159,42,51,127,5.0
2006,2010.0,700000.0,114000.0,3,1,1,0,84,53,100,263,5.0
1681,2010.0,300000.0,48000.0,3,1,1,0,126,5,215,430,5.0
1024,2019.0,1700000.0,32000.0,1,1,1,0,107,71,94,331,7.0
1704,2016.0,375000.0,100000.0,1,1,1,0,216,26,231,95,5.0
636,2013.0,522000.0,150000.0,1,1,1,2,314,39,62,274,5.0
774,2013.0,451999.0,69000.0,1,1,1,0,305,24,293,219,5.0
1882,2009.0,300000.0,100000.0,3,1,1,2,89,53,73,150,5.0
1134,2020.0,475000.0,13000.0,3,1,1,0,296,119,221,424,5.0
1377,2016.0,780000.0,60000.0,1,1,1,0,350,13,289,193,5.0
1310,2017.0,595000.0,40000.0,3,1,1,0,270,10,272,55,5.0
1408,2017.0,440000.0,35000.0,3,1,1,0,258,119,221,424,5.0
1339,2010.0,300000.0,120000.0,1,1,1,2,393,121,322,441,5.41671936259011
1511,2014.0,400000.0,70000.0,1,1,1,4,255,29,273,194,5.0
483,2016.0,1140000.0,50000.0,1,1,1,0,235,39,59,275,5.0
193,2017.0,850000.0,76139.0,1,1,1,0,327,36,317,199,5.0
1309,2012.0,370000.0,175000.0,1,1,1,1,222,13,241,178,5.0
1546,2018.0,350000.0,25000.0,3,1,1,0,328,120,220,426,5.0
1134,2015.0,360000.0,40000.0,3,1,1,2,331,119,221,424,5.0
1106,2008.0,105000.0,65000.0,3,1,1,1,238,112,180,398,5.0
1198,2013.0,625000.0,90000.0,1,1,1,2,268,13,293,193,7.0
601,2009.0,135000.0,80000.0,3,1,1,2,186,2,206,431,5.0
1198,2015.0,700000.0,110000.0,1,1,1,2,268,13,293,193,7.0
340,2019.0,690000.0,1303.0,3,0,1,0,183,11,283,16,5.0
21,2018.0,3975000.0,31800.0,1,0,0,0,160,59,138,353,5.0
809,2019.0,5150000.0,20000.0,3,0,0,0,315,83,153,197,5.0
789,2017.0,3200000.0,45000.0,1,0,0,0,223,67,124,362,5.0
803,2017.0,4100000.0,17000.0,3,1,0,0,392,109,166,320,5.0
806,2019.0,4500000.0,21000.0,1,0,0,0,46,67,88,341,7.0
1474,2017.0,6000000.0,37000.0,1,0,0,0,62,103,159,395,5.0
