Fuel_Type,Body_Type,Kilometers_Driven,Transmission,Owner_Count,Brand,model,Model_Year,Location,mileage,Number_of_Seats
Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,Bangalore,23.1,5.0
Petrol,SUV,32706.0,Manual,2,Ford,Ford Ecosport,2018,Bangalore,17.0,5.0
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Petrol,Sedan,17794.0,Manual,1,Hyundai,Hyundai Xcent,2014,Bangalore,19.1,5.0
Diesel,SUV,60000.0,Manual,1,Maruti,Maruti SX4 S Cross,2015,Bangalore,23.65,5.0
Petrol,Hatchback,37772.0,Manual,1,Datsun,Datsun GO,2017,Bangalore,20.63,5.0
Petrol,SUV,30000.0,Automatic,1,Hyundai,Hyundai Venue,2021,Bangalore,18.15,5.0
Petrol,Sedan,37000.0,Automatic,1,Maruti,Maruti Ciaz,2018,Bangalore,20.28,5.0
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2017,Bangalore,23.84,5.0
Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Baleno,2018,Bangalore,21.4,5.0
Petrol,Hatchback,24887.0,Automatic,1,Hyundai,Hyundai Grand i10,2019,Bangalore,18.9,5.0
Petrol,Hatchback,23000.0,Automatic,1,Honda,Honda Jazz,2018,Bangalore,18.2,5.0
Petrol,Hatchback,48928.0,Automatic,1,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Diesel,SUV,108862.0,Manual,3,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Diesel,SUV,80000.0,Manual,1,Jeep,Jeep Compass,2018,Bangalore,17.1,5.0
Diesel,Hatchback,65376.0,Manual,2,Hyundai,Hyundai i20,2014,Bangalore,21.27,5.0
Petrol,SUV,10000.0,Manual,1,Tata,Tata Nexon,2022,Bangalore,17.33,5.0
Petrol,Sedan,67000.0,Manual,2,Honda,Honda City,2016,Bangalore,17.8,5.0
Petrol,Hatchback,18083.0,Manual,1,Maruti,Maruti Swift,2016,Bangalore,22.38,5.0
Petrol,SUV,30000.0,Manual,1,Renault,Renault Duster,2020,Bangalore,16.42,5.0
Petrol,Hatchback,57634.0,Manual,2,Tata,Tata Tiago,2016,Bangalore,23.84,5.0
Petrol,Sedan,110000.0,Manual,1,Honda,Honda City,2015,Bangalore,17.4,5.0
Petrol,Hatchback,23447.0,Automatic,1,Hyundai,Hyundai Santro,2018,Bangalore,20.3,5.0
Lpg,Hatchback,30000.0,Manual,2,Hyundai,Hyundai Santro Xing,2009,Bangalore,13.45,5.0
Diesel,SUV,87667.0,Manual,2,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Diesel,SUV,79012.0,Manual,2,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Petrol,Sedan,50000.0,Manual,1,Hyundai,Hyundai Xcent,2018,Bangalore,20.14,5.0
Petrol,Hatchback,12434.0,Manual,1,Maruti,Maruti Wagon R,2015,Bangalore,20.51,5.0
Petrol,MUV,60000.0,Manual,2,Maruti,Maruti Ertiga,2019,Bangalore,19.34,7.0
Petrol,Hatchback,40987.0,Manual,2,Maruti,Maruti Wagon R,2015,Bangalore,20.51,5.0
Diesel,SUV,120000.0,Manual,3,Toyota,Toyota Fortuner,2011,Bangalore,11.5,7.0
Diesel,SUV,40000.0,Automatic,2,Renault,Renault Duster,2020,Bangalore,19.87,5.0
Petrol,Hatchback,89667.0,Manual,1,Hyundai,Hyundai i20,2016,Bangalore,18.6,5.0
Diesel,Hatchback,120000.0,Manual,1,Hyundai,Hyundai i20,2017,Bangalore,22.54,5.0
Petrol,Hatchback,56997.0,Manual,1,Maruti,Maruti Baleno,2017,Bangalore,21.4,5.0
Petrol,Sedan,120000.0,Manual,1,Hyundai,Hyundai Elantra,2013,Bangalore,16.3,5.0
Petrol,Hatchback,18835.0,Manual,1,Maruti,Maruti Alto 800,2021,Bangalore,22.05,5.0
Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,2010,Bangalore,12.05,7.0
Petrol,Hatchback,60932.0,Manual,1,Tata,Tata Tiago,2019,Bangalore,23.84,5.0
Petrol,SUV,33539.0,Automatic,2,Kia,Kia Seltos,2020,Bangalore,16.5,5.0
Petrol,Hatchback,66837.0,Manual,2,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Alto,2008,Bangalore,19.7,5.0
Petrol,Hatchback,44285.0,Manual,1,Hyundai,Hyundai i20,2019,Bangalore,18.6,5.0
