Name,Location,Kilometers_Driven,Mileage,Engine,Power,Seats,car_age,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,estimated_new_price
Maruti Alto K10 LXI CNG,Delhi,40929,32.26,998.0,58.2,4.0,10,False,False,False,True,False,False,False,5000
Maruti Alto 800 2016-2019 LXI,Coimbatore,54493,24.7,796.0,47.3,5.0,11,False,False,True,True,False,True,False,5000
Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,34000,13.68,2393.0,147.8,7.0,7,True,False,False,True,False,False,False,5000
Hyundai i20 Magna,Mumbai,29000,18.5,1197.0,82.85,5.0,10,False,False,True,True,False,False,False,5000
Mahindra XUV500 W8 2WD,Coimbatore,85609,16.0,2179.0,140.0,7.0,8,True,False,False,True,False,True,False,5000
Toyota Fortuner 4x2 AT TRD Sportivo,Pune,59000,12.55,2982.0,168.7,7.0,9,True,False,False,False,False,False,False,5000
Hyundai EON Era Plus,Jaipur,65000,21.1,814.0,55.2,5.0,11,False,False,True,True,False,False,False,5000
Honda City 1.5 S MT,Mumbai,66000,17.0,1497.0,118.0,5.0,13,False,False,True,True,False,True,False,5000
Mahindra XUV500 W6 2WD,Coimbatore,54684,15.1,2179.0,140.0,7.0,9,True,False,False,True,False,False,False,5000
Audi Q5 2008-2012 2.0 TDI,Mumbai,78000,12.8,1968.0,167.6,5.0,12,True,False,False,False,False,True,False,5000
Hyundai Grand i10 Magna,Jaipur,21000,18.9,1197.0,82.0,5.0,8,False,False,True,True,False,False,False,5000
Toyota Corolla H5,Chennai,90000,13.4,1794.0,125.0,5.0,17,False,False,True,True,False,False,True,5000
Maruti Swift Vdi BSIII,Coimbatore,87628,17.8,1248.0,75.0,5.0,16,True,False,False,True,False,False,False,5000
Nissan Terrano XL,Mumbai,45000,13.24,1598.0,102.5,5.0,10,False,False,True,True,False,False,False,5000
BMW X1 sDrive20d,Coimbatore,30788,17.05,1995.0,184.0,5.0,11,True,False,False,False,False,False,False,5000
BMW 3 Series GT 320d Luxury Line,Hyderabad,39524,19.59,1995.0,184.0,5.0,9,True,False,False,False,False,False,False,5000
Ford Ikon 1.4 TDCi DuraTorq,Chennai,140000,13.8,1399.0,68.0,5.0,15,True,False,False,True,False,False,False,5000
Maruti Swift AMT ZXI,Kochi,15409,22.0,1197.0,81.8,5.0,5,False,False,True,False,False,False,False,5000
Maruti Swift Dzire VXi,Jaipur,36502,17.5,1298.0,85.8,5.0,9,False,False,True,True,False,False,False,5000
Maruti Ritz LDi,Pune,200000,23.2,1248.0,73.94,5.0,8,True,False,False,True,False,False,False,5000
Nissan Micra XV,Delhi,70000,18.06,1198.0,75.0,5.0,14,False,False,True,True,False,False,False,5000
Maruti Alto 800 2016-2019 LXI,Kochi,36701,24.7,796.0,47.3,5.0,7,False,False,True,True,False,False,False,5000
